Name,Longitude,Latitude
MSP,-93.221802,44.882
MKE,-87.89659881591797,42.947200775146484
DTW,-83.35340118408203,42.212398529052734
OMA,-95.894096,41.3032
MOT,-101.27999877929688,48.2593994140625
MSN,-89.3375015258789,43.13990020751953
CWA,-89.6668014526,44.7775993347
DSM,-93.66310119628906,41.534000396728516
LNK,-96.75920104980469,40.85100173950195
TVC,-85.58219909667969,44.74140167236328
GRR,-85.52279663,42.88079834
ELM,-76.8916015625,42.1599006652832
ORD,-87.9048,41.9786
MCI,-94.713898,39.2976
MDT,-76.7633972168,40.1935005188
ATW,-88.5190963745,44.258098602299995
COU,-92.21959686279297,38.81809997558594
LEX,-84.60590362548828,38.0364990234375
FAR,-96.81580352783203,46.92070007324219
CID,-91.71080017089844,41.884700775146484
DBQ,-90.70950317,42.40200043
SUX,-96.38439941,42.40259933
FWA,-85.19509888,40.97850037
LAN,-84.58740234375,42.77870178222656
GRB,-88.12960052490234,44.48509979248047
CMI,-88.27809906,40.03919983
LSE,-91.256699,43.879002
AZO,-85.5521011352539,42.234901428222656
BMI,-88.91590118,40.47710037
RST,-92.5,43.90829849243164
FSD,-96.741897583,43.582000732400004
TOL,-83.80780029,41.58679962
SPI,-89.67790222,39.84410095
MQT,-87.395401001,46.353599548300004
AVP,-75.72339630130001,41.338500976599995
MLI,-90.50749969482422,41.44850158691406
PIA,-89.6932983398,40.664199829100006
EVV,-87.5324020386,38.0369987488
ABE,-75.44080352783203,40.652099609375
RAP,-103.05699920654297,44.0452995300293
BIS,-100.74600219726562,46.772701263427734
SFB,-81.23750305175781,28.777599334716797
IAG,-78.94619750976562,43.1072998046875
PGD,-81.9905014,26.92020035
AZA,-111.6549988,33.30780029
PIE,-82.68740082,27.91020012
RFD,-89.09719848632812,42.19540023803711
HTS,-82.55799866,38.36669922
LCK,-82.927803,39.813801
BLV,-89.835197,38.5452
FNT,-83.74359893798828,42.96540069580078
PVU,-111.72299957275,40.219200134277
USA,-80.709099,35.387798
SBN,-86.31729888916016,41.70869827270508
MBS,-84.07959747314453,43.532901763916016
GFK,-97.176102,47.949299
DLH,-92.19360351559999,46.8420982361
ERI,-80.1738667488,42.0831270134
IMT,-88.1145019531,45.8184013367
ESC,-87.0936965942,45.7226982117
SWF,-74.10479736328125,41.50410079956055
SCE,-77.84870147710001,40.8493003845
ISN,-103.641998291,48.177898407
CMX,-88.48909759521484,47.168399810791016
EAU,-91.48429870605469,44.86579895019531
LWB,-80.3994979858,37.8582992554
SHD,-78.8964004517,38.2638015747
MKG,-86.23819733,43.16949844
UIN,-91.19460297,39.94269943
CGI,-89.57080078125,37.22529983520508
CKB,-80.2281036377,39.2966003418
PAH,-88.7738037109375,37.06079864501953
ABR,-98.42179870605469,45.449100494384766
APN,-83.56030273,45.0780983
PLN,-84.79669952,45.57089996
BJI,-94.93370056,47.50939941
BRD,-94.13809967,46.39830017
CIU,-84.47239685058594,46.25080108642578
ITH,-76.4583969116211,42.49100112915039
HIB,-92.83899689,47.38660049
BGM,-75.97979736,42.20869827
RHI,-89.46749877929688,45.63119888305664
INL,-93.4030990600586,48.566200256347656
ALO,-92.40029907226562,42.557098388671875
PSM,-70.8233032227,43.0778999329
HGR,-77.72949982,39.707901
OWB,-87.16680145,37.74010086
STC,-94.05989837646484,45.546600341796875
OGS,-75.46549987790002,44.6819000244
OGD,-112.0120010376,41.195899963379
